,id,date,dateYear,dateMonth,dateDay,rating,userName,content
10,11,20200427,2020,04,27,1,Google 사용자,여권으로는 본인인증이 안된다는게 이해되지 않네요 지인이 카뱅 가입을 위해 신분증을 촬영했으나 흐린 사진으로 인하여 처리가 안된다하여 다른 금융기관처럼 여권으로 대체를 요청했으나 거절당하고 예금도 모두 인출처리하라고 계좌 정지시킨다는 연락을 받았습니다. 코로나 때문에 외출이 힘든 요즘 사진도 다시 찍고 신분증 재발급을 받은 이후에 재가입하라는 콜센터 안내에 기가 막히네요. 빠른 보완과 대책을 요구합니다
11,12,20181228,2018,12,28,4,Google 사용자,초기때부터 아주 편리하게 잘 사용하고 있습니다. 개인적으로 제일 아쉬운 부분은 자주쓰는 계좌 등록이네요. 저축은행 등은 계좌번호만 보고는 헷갈리는 경우가 많아 자주쓰는 계좌를 구체적으로 관리할수 있었으면 좋겠습니다. 그리고 다른 가계부와 연동이 안돼서 불편한 정도. 차라리 가계부 어플을 하나 만들어주세요. 두가지만 보완되면 개인적으로 거의 완벽한 은행 앱입니다.
12,13,20211206,2021,12,06,2,ᄆᄎ,잘 사용해왔는데 최근 오류가 몇가지 생겼네요. 이체할때 계좌번호 입력창을 누르면 갑자기 카카오톡 패턴입력창이 뜹니다. 지문인식하거나 패턴입력하면 사라지긴 하는데 그때마다 조금 번거롭습니다. 또 와이파이는 멀쩡하고 제 집인데도 이체하기를 누르면 정보통신망에 문제가 있다는 알림창이 화면에 뜨면서 이체가 되지 않는군요. 두가지 오류 확인해주시기 바랍니다.
13,14,20190803,2019,08,03,5,Google 사용자,"처음 로그인하면 메인화면이 보이는데, 여기에 세이프박스가 같이 바로 보이니 의식하고 싶지 않아도 바로 꺼내서 써야겠다는 생각이 들게 되는 경우가 꽤 있었습니다. 메인화면에 보이는 항목들을 순서를 개인이 원하는대로 지정할 수 있거나, 메인화면에서 세이프박스를 보지 못하게 하고 따로 사이드메뉴를 통해서 들어갈 수 있도록 하는 '옵션'을 만들어주신다면 유용하게 쓸 수 있을 것 같습니다 ㅜ0ㅜ"
14,15,20190227,2019,02,27,5,Google 사용자,"카뱅 수수료도 없고 너무 편해서 좋아요! 세이프박스에 금액을 넣을 때, 기존 금액을 수정하는 것도 좋지만 기존 금액에서 +30,000원 혹은 -50,000원 이런식으로 플러스 마이너스를 누르고 원하는 입출금 금액을 입력해서 자동으로 계산되어 처리되는 방식이 된다면 정말 편리할 것 같아요!"
15,16,20210930,2021,09,30,1,끌바장인_김원기,아 좀 내부 메뉴 인터페이스 변경좀 적당히 하십쇼!!!! 어르신들은 적응할라치면 또 바꾸고 바꾸고..그러다가 인증 풀려서 재로그인 재등록 할때마다 전전긍긍하시는거 하나하나 다 도와드려야하고.. 제가봐도 바뀐화면 순간 적응 못해서 얼타는데 연세드신분들은 얼마나 힘들겠어요?!
16,17,20200530,2020,05,30,5,이용희,"안녕하세요. 저는 카카오뱅크 사용자 입니다. 카카오뱅크 정말 편리하고, 대단합니다. 임금할때 다른 곳에 돈을 넣어는데도 수수료는 안 받고, 교통카드로 사용하니까 편하고, 그리고 송금할때는 진짜 쉽고, 편해서 좋습니다. 앞으로 좋고, 편하게 만들기 바랍니다.(새로 업데이트 된 계좌바꾸기, 금액 안보이게 하는 기능을 써보니까 좋습니다.)"
17,18,20181118,2018,11,18,1,Google 사용자,카카오뱅크 체크카드 이용하면서 어플리케이션 때문에 불편합니다. 어플을 켜면 실행이 안되고 꺼집니다. 핸드폰 잘못인가 다시 어플 지우고 깔아봐도 어느샌가 다시 실행이 안됩니다. 제 주변에서도 카뱅체크카드 이용하는 친구들이 있는데 몇명 같은 현상이 일어나 그냥 거래 안한다고 어플 삭제했답니다. 안정화 좀 해주시겠어요? 이러다 저도 거래 안하겠어요ㅎㅎ
18,19,20190707,2019,07,07,1,Google 사용자,"기기변경 이후 개인인증을 번복하게해서 사용자체를 하기싫게 하네요 영상인증까지해놓고 자동으로 안내화면이 넘어가야지 왜이런부분이 연결이 안되고 일치되지않는거죠? 주변사람들 많이ㅆ는것같아 페이랑 같이 다시써볼까했는데 ux디자인하는사람으로써 너무 불편하고 인증과정이 불쾌합니다, 기술의 한계인가요?디자이너의 부재인가요?"
19,20,20201202,2020,12,02,4,김상,"모임통장용으로 개설하며 쓰고 있습니다. 참가자들이 이력을 함께 볼수 있는 점이 좋았습니다. 다만, 메모기능이 있었으면 좋겠습니다. 예를들어 공금으로 쇼핑몰에서 물건을 구입했을때, 해당 쇼핑몰이름만 확인할수 있을뿐 어떤 목적으로 사용했는지 확인이 어렵습니다. 둘째로 이력을 클릭했을때 상세보기가 있었으면 좋겠습니다. 실수로라도 참가자 본인이름을 누락한채로 입금시 누가 입금했는지 후에 알기가 어렵습니다. 적어도 입금에 관련해서는 누가, 어느 통장에서 입금했는지에 대한 상세 정보가 표출되었으면 좋겠습니다."
20,21,20190905,2019,09,05,1,Google 사용자,"계속 챗봇 전환되는것도 너무 번거롭고, 심사 결과를 문자로만 알려줘서 해외에 있는 사람은 못 받아보는 점도 답답합니다. 계좌중지될거란 이메일 문자도 따로못 받았는데 중지돼있고, 외환거래 계좌로 등록은 되고 여러모로 개선이 필요한 부분이 많아 보이네요. 아주 실망스럽습니다."
21,22,20210821,2021,08,21,1,늘마,업데이트가 떠서 눌렀는데 하루동안 진행이 안되서 폰도 재부팅해보고 여러 방법을 시도해 보았으나 진행이 안됩니다. 최후의 방법으로 앱 제거 후 설치 눌러보았으나 진행이 안됩니다.. 카뱅을 주거래은행으로 사용중이어서 굉장히 난감한 상황입니다. 해결좀 해주세요..
22,23,20181015,2018,10,15,4,Google 사용자,지문관리에서 지문으로 로그인과 지문으로 이체거래사용 모두 켜져있지만 로그인할때는 지문인식이 되지만 계좌 이체시 생채인증(지문인식)창이 뜨지 않고 바로 번호누르는 화면으로 넘어가네요.. 수정 부탁드립니다. 앱은 항상 잘쓰고 있어요!
23,24,20190214,2019,02,14,5,Google 사용자,"노트9 안드로이드 파이버전입니다. 몇일전부터 계속 ""기기의 지문정보가 변경되어 지문 인증을 사용할 수 없습니다"" 메세지가 나와서 지문 재등록 하고 사용하다가 또 몇시간이나 하루 간격으로 이 메세지가 수시로 떠서 다시 재등록하곤 합니다. 왜 이런지요? 앱을 지우고 다시 설치해도 동일합니다."
24,25,20200105,2020,01,05,3,Google 사용자,"아직까지는 큰오류없이 사용중입니다. 다만 최근 기능이 많아지면서 조심스러워지네요. 업데이트를 강요하지 않는것 또한 가산점. 구버전도 몇몇 특수기능 제외하고는 쓰는데 문제없습니다. 2020 01 06 기준, 업데이트 없이는 이체가 안됩니다. 별점하나 감점"
25,26,20200427,2020,04,27,1,Google 사용자,나이들어 눈나쁜 사람들 좀 생각하고 앱 좀 만들어요. 이전 버전이 휠씬 가독성이 좋고 편합니다. 뭘 그렇게 한화면에 좁쌀만한 글자로 많은 것을 구현하려는지 말이죠. 글자 좀 크게 늘리는 기능을 좀 넣던지 해주세요.
26,27,20211219,2021,12,19,5,motto Puzzle,"제가 방금 자유적금에 연결되어있는 입출금통장 비밀번호를 잊어버려서 재설정하기 위해 영상통화를 신청했는데요. 이 늦은 새벽시간임에도 불구하고 바로 전화가 오더라구요~너무 친절하기 통화연결 해주셨고, 본인이 잘만 사용하시면 이 앱을 유용하게 쓸 수 있어서 너무 좋은 앱이에요!!"
27,28,20210306,2021,03,06,5,Jins ACE,사용하기 너무 편한 카뱅 처음부터 지금 까지 너무 잘 쓰고 있습니다 근데 단 한가지 입출금 글씨 색을 조정 해주셨으면 합니다 잔액과 출금은 특징없는 검정색 입금은 파란색으로 표시 되고 있는데 그 파란색만 보면 가끔씩 가슴이 철렁철렁 합니다 부디 입금만이라도 붉은색으로 변경이 됐으면
28,29,20191015,2019,10,15,5,Google 사용자,"초창기부터 너무 잘 쓰고 있어요. 이제 카뱅이 제 지갑이나 다름없답니다 :) 좋은 어플 만들어주셔서 감사합니다! 두가지 건의사항 적어요. 계좌 순서 편집할 수 있음 편할것 같구요, 계좌 관리 색깔을 더 다양하게 해주세요. 적금 예금 보통예금 몇개씩 갖고 있는데, 더 예쁜 색으로 꾸미고 싶어요! 수고하세요."
29,30,20181230,2018,12,30,5,Google 사용자,모임통장기능 넘 맘에 들어요! 친구들이랑 하기 좋구 편리하구요 나쁜건 없지만 몇 가지 건의사항이 있어서 적어봐요 1. 모임통장에 친구들과 정한 규칙같은것을 자유롭게 작성하고 모두 쉽게 확인할수 있었으면 좋겠어요! 2. 입/출금한 돈에 대한 설명글을 간단하게 쓸 수 있는 기능이 있으면 좋겠어요 3. 모임주를 돌아거면서 하는 기능도 생기면 진짜진짜 좋을거 같아요 4.니니즈이모티콘 넘나 귀여운것 15일 바께 못쓰다니 아쉬워요..ㅎ 저는 앱만드는거나 이런 서비스 만드는거에 대해 전문적인 부분 아무것도 아는게 없어서 사용자로써 바람을 적어봤어요!! 좋은 상품 만들어주셔서 감사합니다!!
30,31,20181103,2018,11,03,1,Google 사용자,신분증 촬영은 값 입력도 아니고 매번 촬영해야 되는데 오류 발생했다고 인식도 안되고 다시해도 안되고 아무리 해도 안되고 아주 엉망진창이네요. 너무 짜증나서 댓글 남깁니다. 고작 기기 변경하는데 기존 정보 불러오던가 하면되지 무슨 신분증촬영부터 다시 합니까?
31,32,20190603,2019,06,03,1,Google 사용자,"진짜 불쾌합니다. 답답해하는 상황에 대해 안된다고만 하고있고 상대방 얘기는 듣지도 않네요. 기분좋은 문의도 아니었고 억울하게 계좌가 막혀서 확인해달라고 전날에 통화를 했는데 상담원이 바뀌었다, 그 상담원은 지금 없어서 확인이 안되다는둥 아니 상담 하나에 뭐이리 연결되는 부서가 많고 연결마다 뭐 계속 같은 본인확인을 하는지 게다가 연결에 연결 끝에 결론은 연락처를 받아적어서 직접 전화를 해서 확인해야한다?? 전화하면 같은 질문을 또하고 또 같은말을 하고.... 정말 답답하기 짝이 없습니다. 편의를 위한 온라인뱅크라면 그에 맞게 이런부분부터 개선해주세요. 일반은행과 똑같이 처리한다면 오히려 직접 가서 처리할수있는 지점이있는 은행만도 못한거 아닌가요??"
32,33,20190522,2019,05,22,1,Google 사용자,카뱅을 접속이 불가능해서 문의남겼더니 답도 없고 결국 재설치했더니 또 안되서 결국 고객센터에 전화했네요 상담원이 해결방법을 알려줬는데 잘못된 방법을 알려줘서 시간 낭비하고 다시 또 고객센터에 전화하고...어플엔 문제없고 고객님 기기가 문제인거니까 그때마다 재설치하면 된다니. 해결방법 알려주신거치곤 너무 무책임하시네요
33,34,20181123,2018,11,23,1,Google 사용자,계속 다시 깔라는데.... 기기변경하라고 하고... 아래 리뷰 보니 보안설정 핀으로 하면 된다고 해서 바꿨는데... 또 기기변경 뜨네요... 탈퇴하고 싶은데 탈퇴허기 위해서도 로그인이 되야하잖아요... 신분증 사진촬영 20번은 해야 인식되고... 이렇게 어떻게 써요... 최근 리뷰보면 문제없이 쓰는 분도 있는 것 같은데 저는 계속 동일한 문제가 떠서 불편합니다. 이런 리뷰 처음 올립니다.
34,35,20210329,2021,03,29,5,C.H J,저와 같은 현상으로 불편하신분 참조 안드로이드11 및 Oneui 3.1 업데이트 후 루팅(110)으로 인식하여 카뱅을 종료되는 현상 과 안드로이드11 및 Oneui 3.1 업데이트 후 프로그램 변경이 감지(200) 되어 카뱅이 실행이 되지 않으신 분은 1번 - 플레이 스토어에서 카뱅 최신 업데이트로 올려줍니다 2번 - 1번을 실천하였지만 여전히 카뱅이 작동하지 않는다면 카뱅을 완전 삭제 후 재설치를 해보세요
35,36,20201022,2020,10,22,5,박다연Park Dayon,"너무 잘 쓰고 있습니다 ! 제안할 게 있는데요, 홈화면 금액 표시 옵션을 여러 계좌에 똑같이 적용하는 게 아니라 계좌별로 옵션을 끄고 킬 수 있게 달아주면 훨씬 좋을 것 같습니다 ! 금액을 자주 확인해야 하는 계좌도 있고, 자꾸 신경쓸바엔 차라리 엎어두고 쓰는게 나은 계좌도 있고.. 다 달라서요! 쓰면서 그 점이 바뀌면 정말 좋겠다는 생각을 했습니당! 감사합니당~"
36,37,20210707,2021,07,07,5,윤상준,"탈퇴시 사전작업으로 모든 카드 해지, 전계좌 해지(세이프 박스 및 저금통 포함) 등록된 OTP 해지가 필요하며 각 해지 메뉴는 내카드, 내계좌 메뉴에서 제일 아래에 해지 메뉴가 쥐꼬리만하게 있습니다. 사전작업 완료 후 설정란 제일 아래에 회원탈퇴 메뉴가 쥐꼬리 만하게 있으니 해당 버튼 쿨릭하여 탈퇴가 가능 합니다."
37,38,20200102,2020,01,02,3,Google 사용자,"적금통장 만료돼서 해지 후 자유롭게 출금이 가능한 세이프박스를 애용하는데, 세이프박스의 잔고금액 기록이 업데이트 이후 사라져서 불편하네요. 예전에는 잔고금액 기록사항이 있고 세이프박스의 출금/입금 금액을 덧셈뺄셈으로 계산해야해서 불편했는데 그 점을 개선하고 기존의 기능(잔고금액 내역)이 사라져서 아쉽습니다. 가계부를 쓰는데 세이프박스도 사용하고있어서 이 점이 개선되었으면 하는 바람이 있네요."
38,39,20190212,2019,02,12,1,Google 사용자,키카오뱅크가 모바일로 하는거잖아요 근데 앱이 불안정하면 ㅠㅠㅜ어떡합니까 처음에 열고 닫은 이후로 두번째 접속부터는 검으화면만 뜨네요... 앱재설치하면 똑같이 처음 접속만 잘되고 진짜.. 앱을 홈키로 나온게 문제인가 싶어서 로그아웃하고 나왔는데 똑같네요 컴퓨터로 이체할 수도 없고 답답합니다
39,40,20190612,2019,06,12,4,Google 사용자,"잘쓰고있습니다. 그런데 세이프박스의 최소금액이 5만원도 가능했으면 좋겠습니다 애매하게 7~8만원일때는 넣을수가 없기도하고 10만원은 금액이 커서 넣고 다시 빼야하는 상황이 자주오네요... 그리고 세이프박스에 돈을 넣고 뺄때 원래 금액이 얼마인지 보면서, 얼마를 넣고있고 얼마를 빼고있는지 바로바로 알수있으면 좋을것같아요"
40,41,20210206,2021,02,06,1,노진용,"예전에 만든계좌 비밀번호,패턴 모두 잊어버려서 본인인증 다하고 신분증 사진도 인증 다 했는데 마지막에 영상통화를 해야한다해서 3번씩이나 요청을 했는데 인증도 안들어오고 아무런 조치가 없네요 이건 그냥 뭐 쓰지말라는건가요? 일부러 고객센터 업무시간에도 인증요청을 했는데 아무런 조치가 없네요^^"
41,42,20191224,2019,12,24,4,Google 사용자,다 좋아졌다고 생각하는데.. 이체 시 즐겨찾기 해놓은 순서가 최근이체가 위로 가네요. 순서를 수동으로 선택할 수 있으면 좋겠습니다. 자주 이체하는 게좌인데 위치가 바뀌어서 잘못누르는 경우가 생기네요
42,43,20210611,2021,06,11,1,자라,새 기기서 로그인하려는데 신분증 자동 촬영이 안 됩니다. 뭐 로그인이 돼야 사용을 하죠. 기존 기기를 중고로 처리했으면 돈이 그대로 묶일 뻔 했네요. 더이상 쓰면 안 될 은행으로 판단하고 기존 기기에서 카드 통장 다 해지했습니다. 찾아보니 한두번이 아니던데 어플 수정 좀 해요. 아니면 다른 인증방식을 갖추든가.
43,44,20200428,2020,04,28,1,Google 사용자,"업뎃 후 너무 불편하게 변했어요, 이전에는 이름 계좌 특수기호 등 타인이 적어준 계좌정보를 길게 다 복사해도 붙여넣기하면 계좌번호만 딱 인식하면서 은행이랑 이름도 한꺼번에 떠서 바로 확인하고 원터치로 보내기 가능했는데 // 지금은 은행부터 고르고 계좌넣기해도 복사글이 길면 뒤에 번호가 다 짤려서 나중에 또 다시 수정해서 넣어야 되고, 계좌넣으면 이름이 바로 확인이 안되니까 불편하고, 다중이체할때는 마지막에 이름이랑 금액 다시 또 대조 싹 해봐야되고... 휴....1터치에서 5~8터치는 된거같아 진짜 너무너무 불편합니다. 이건 이체 해 본 사람은 바로 알거예요. 왜 이렇게 다운그레이드된거죠?????"
44,45,20200330,2020,03,30,5,Google 사용자,공인인증서를 사용하지 않는 금융 앱. 예/ 적금은 다른 은행보다 금리가 많이 낮은 편이지만 입출금통장의 체크카드 발급 및 분실 정지 기능도 편리하며 해외결제에 대한 설정도 스위치로 온오프 가능함. 모임통장의 경우 회계를 맡아 누가 얼마를 냈는지 별도로 적을필요가 없고 모임통장의 역할을 다했을때 해지하는 것도 빨라서 좋음. 일반생활비 입출금통장(체크카드) 및 모임통장 관리하기 정말 좋은 어플
45,46,20210731,2021,07,31,3,최여자친구메인보컬유주,"mini 서비스를 이용 중이지만, 그래서 그런지 이용 가능한 부분이 상당히 제한되어 있더군요. 당장 저금통 서비스만 봐도 입출금계좌가 있어야만 가능한 서비스고...저금통과 같은 부분은 mini 이용자들도 이용 가능하도록 개선해주셨으면 좋지 않나 싶네요."
46,47,20201229,2020,12,29,1,Seulgi Yu,다 너무 좋은데 카카오뱅크 체크카드 신청한지 1주일 됐는데 아직도 체크카드가 안 오고 카카오뱅크에 전화해도 언제 받을지 모른단 소리만 듣네요. 택배사도 무슨 국제택배라는 업체 쓰는데 이 업체 따로 앱도 없어서 알 수가 없구요. 택배업체에 전화 3번했는데 통화량많다고 연결안된다고 끊어져요. 카카오뱅크에 전화해도 택배사한테 전화해보란 소리만하시고 다른 택배사(앱 있고 전화가능한 우체국이나CJ) 통해서 카드받을 수 있냐고 물었는데 그건 안된다고 하네요. 체크카드 담당 택배사 좀 바꾸세요. 체크카드 신청하고 이런 듣보잡 택배사로 선정해서 언제 올지 알 수가 없고 카뱅에선 이건 진짜 흠이네요.
47,48,20190218,2019,02,18,3,Google 사용자,대체로 좋은데 불편한점이 하나 있네요. 이체할때 지문인증을 사용할수있도록 설정했는데 정작 이체 화면에서 지문인증 페이지가 뜨지않습니다. 그래서 항상 인증비밀번호를 입력해야해요. 지문인증 이체가 되는거면 되게해주시고 안되는거면 좀 설정에서 삭제해주세요
48,49,20190618,2019,06,18,5,Google 사용자,"너무 잘 사용하고 있는데요. 이벤트 팝업창은 설정으로 출력되지 않도록 할 수는 없을까요? 나름 금융앱인데 들어가면 잔액부터 확인하고 싶은데, 지문인증 후에 팝업창 닫기까지 눌러야 하는게 좀 부정적인 느낌이 들어서요. 앱은 너무 유용하게 쓰고 있어요."
49,50,20210409,2021,04,09,1,mo mo,"일반 어플도 아니고, 실물 지점도 없는 모바일 은행이... 앱 오류가 나서 몇일동안 실행이 안되면 문제가 좀 큰거 아닌가요. 다른 분들이 삭제후 업데이트 등 해결 방법을 올리던데 이게 이용자가 찾아서 해야할일이 아니라 자체적으로 고객한테 안내를 따로 하거나 해야했지 않나.. 신뢰가 엄청나게 떨어졌습니다. 돈을 많이 넣어두진 못할거 같네요"
50,51,20190406,2019,04,06,5,Google 사용자,"수수료 면제부터 가입, 관리까지 너무 편하고 좋아요 유일하게 추가되었으면 하는 기능이 계좌정렬인데 만기일 기준으로, 가입일 기준으로 정렬선택 가능하게 해주시거나 가장 좋은건 드래그로 위치를 마음대로 조정할 수 있다면 최고일 것 같습니다"
51,52,20210112,2021,01,12,1,하하호호,훼손된 민증이라고 출금 자체가 정지되고..고객센터 전화하니까 민증을 새로 발급받을수밖에 없다고하는데..민증발급받는데만 며칠에서 몇주가 걸리는데...그동안은 통장 잔액도 쓰지 못하고 월급 계좌도 다 변경해야하는 불편함이있네요ㅡㅡ 최소한 고객센터로 전화했을때 비밀번호등 본인 인증되면 남은 잔액이라도 출금할수있었으면 좋겠어요 이런 불편함때문에 카카오뱅크는 이제 안쓸거같네요
52,53,20210911,2021,09,11,1,Jin K,"기기변경하고 새로 앱 들어가는데 본인인증 무한반복입니다. 고객센터 영상통화 연결해서 비밀번호는 바꿨으나 계좌에 연결되지 않고 본인인증 무한반복, 신분증 사진 서른 번도 더 찍었음. 앱도 지웠다 새로 깔아도 계속 같은 현상입니다."
53,54,20200427,2020,04,27,3,Google 사용자,카카오뱅크 편리하게 잘 사용하고 있습니다. 2.0 업데이트하고나서는 구성은 훨씬 좋아진것같지만 메뉴가 옆으로 넘어가지 않고 무조건 터치해야 넘어가는 부분은 상당히 불편합니다.
54,55,20200227,2020,02,27,5,Google 사용자,"엄청 편리하고 좋아요! 타은행 어플들보다 로그인속도도 빠르구용 세이프박스도 엄청 잘쓰고있습니다 너무 잘 쓰고 있어서 그런데 계좌당 한개말고 2개정도만 더 만들어주시면 안될까요?? 다들 애껴쓰자 목록 손대면 안되는거1, 2, 3정도까진 있잖아요★.. 세이프박스때매 통장을 또 만들 수는 없잖아요ㅜㅜㅜ"
55,56,20180927,2018,09,27,1,Google 사용자,켜면 중지되면서 꺼져버립니다. 핸드폰 껏다켜도 동일 증상 발생. 이전에도 이런 일이 있어서 제거한 후 설치해서 해결한 적이 있는데 문제는 제거하면 신분증 인증 다시해야되요. 넘나 피곤한것
56,57,20190914,2019,09,14,4,Google 사용자,"정말 간편하고 좋습니다. 잔액 실시간 확인도 간편하고, 세이프박스 기능도 좋습니다. 공인인증서 필요없구요. 다만 아직 결제할때 카카오뱅크 선택지가 없는 경우가 많습니다. 서비스 확대해주셔요..."
57,58,20210312,2021,03,12,5,seongja choi,"실시간 사용에 아주 편리합니다. 또한, 거래자의 입맛에 맛게 선택할 수 있는 종류도 다양합니다. 개인적으로 은행 백화점(?) 같아 아주 편리하게 다양하게 사용하고 있습니다."
58,59,20210705,2021,07,05,3,동동,잘 쓰다가 새로 모임통장 개설하려고 하는데 입출금통장부터 만들어야 한다고 해서 만드는데 제가 후면 카메라가 고장나서 불가능하게 되어 상담직원분 연결했는데 사각박스 부분을 길게 누르면 전면 카메라로 변경되니 그렇게 찍으라고 하셨습니다. 근데 사각박스 부분을 정말... 아무리 눌러도 변경이 안됩니다... 되지도 않을 서비스를 도대체 왜 만드신건지... 알 수가 없네요... 제발 서비스 점검 좀 제대로 해주세요...만들어 놓으면 뭐합니까... 써지지도 않는 서비스...
59,60,20201027,2020,10,27,4,dreamy violet,잘 쓰고 있는데 이제 체크카드 디자인도 새로 업뎃해주세요ㅠㅠㅠㅠ mini 너무 예쁜데 그냥 체크카드도 디자인 제발ㅠㅠㅠㅠ 지금 색상 촌스러웠는데 미니처럼 살짝 톤다운된 파스텔 색상이면 좋겠어요 같은 색상에 캐릭터만 바뀌어도 되니까 제발요 너무 오래 됐어요
60,61,20181109,2018,11,09,1,Google 사용자,갑자기 앱을 열수가 없나요?카카오뱅크가 계속중지되었습니다 이문구만 뜨고 열리질 않아요 .삭제하고 다시 깔아보려해도 적금든것두있구 ㅠ다시삭제후 재설치했더니 기기변경 나와서 신분증인증을 이십번촬영하고 다 인식하고 다음 누르는데 왜 잘못됐다고 다시 찍으라면서 다시찍음 또 안되구 왜 무한반복되는지 속터진다 진짜
61,62,20180919,2018,09,19,1,Google 사용자,기기변경 후 로그인을 아무리 시도해도 신분증 인식이 안되서 못쓰고 있습니다. 상담사도 관련지식이 부족해서 상담을 할 수 있는 곳도 없고 뱅크라고 하기엔 아쉬운 점이 많습니당. 공인인증서로 로그인하는게 낫다고 생각할줄 몰랏네요. 다른 로그인 방법을 개발하시지않으면 메리트없을듯여.
